,SK_ID_CURR
0,100001
1,100005
2,100013
3,100028
4,100038
5,100042
6,100057
7,100065
8,100066
9,100067
10,100074
11,100090
12,100091
13,100092
14,100106
15,100107
16,100109
17,100117
18,100128
19,100141
20,100150
21,100168
22,100169
23,100170
24,100171
25,100172
26,100184
27,100187
28,100212
29,100222
30,100223
31,100232
32,100241
33,100245
34,100253
35,100256
36,100271
37,100278
38,100280
39,100306
40,100311
41,100312
42,100330
43,100331
44,100352
45,100358
46,100367
47,100382
48,100384
49,100385
50,100386
51,100399
52,100404
53,100416
54,100422
55,100426
56,100438
57,100444
58,100445
59,100446
60,100447
61,100450
62,100466
63,100483
64,100484
65,100494
66,100510
67,100512
68,100517
69,100548
70,100551
71,100552
72,100553
73,100561
74,100568
75,100569
76,100591
77,100592
78,100602
79,100607
80,100613
81,100617
82,100618
83,100622
84,100625
85,100677
86,100699
87,100702
88,100711
89,100729
90,100740
91,100744
92,100745
93,100747
94,100751
95,100752
96,100753
97,100754
98,100760
99,100762
100,100763
101,100765
102,100770
103,100772
104,100777
105,100791
106,100792
107,100797
108,100823
109,100826
110,100830
111,100836
112,100872
113,100910
114,100913
115,100918
116,100931
117,100952
118,100953
119,100965
120,100970
121,100982
122,100983
123,100984
124,100987
125,100997
126,100998
127,101002
128,101005
129,101008
130,101020
131,101021
132,101024
133,101025
134,101026
135,101031
136,101041
137,101051
138,101055
139,101056
140,101057
141,101064
142,101079
143,101087
144,101090
145,101092
146,101097
147,101099
148,101107
149,101118
150,101125
151,101126
152,101128
153,101136
154,101140
155,101149
156,101160
157,101169
158,101181
159,101186
160,101190
161,101193
162,101194
163,101198
164,101200
165,101204
166,101211
167,101213
168,101223
169,101225
170,101237
171,101243
172,101244
173,101258
174,101259
175,101268
176,101269
177,101271
178,101279
179,101281
180,101287
181,101292
182,101294
183,101296
184,101297
185,101299
186,101301
187,101305
188,101308
189,101318
190,101327
191,101329
192,101332
193,101337
194,101343
195,101345
196,101346
197,101353
198,101354
199,101355
200,101356
201,101362
202,101363
203,101365
204,101366
205,101367
206,101368
207,101374
208,101380
209,101383
210,101398
211,101399
212,101401
213,101412
214,101426
215,101427
216,101428
217,101429
218,101434
219,101440
220,101448
221,101449
222,101465
223,101467
224,101472
225,101478
226,101497
227,101504
228,101547
229,101548
230,101555
231,101570
232,101572
233,101578
234,101580
235,101588
236,101602
237,101610
238,101614
239,101616
240,101643
241,101644
242,101649
243,101650
244,101665
245,101667
246,101669
247,101674
248,101675
249,101678
250,101682
251,101686
252,101697
253,101700
254,101711
255,101714
256,101715
257,101728
258,101732
259,101757
260,101758
261,101759
262,101762
263,101764
264,101780
265,101784
266,101789
267,101816
268,101819
269,101827
270,101863
271,101867
272,101870
273,101873
274,101878
275,101879
276,101880
